Date,,Details,,In (NIS),Out (NIS)
,,,,,
"Thursday, 01/04/2021",,,,,
,,,,,
,Lunch,,,,65
,,,,,
"Friday, 02/04/2021",,,,,
,,,,,
,Abu-Gosh,,,,22
,Caffe,,,,14
,,,,,
"Saturday, 03/04/2021",,,,,
,,,,,
,Alchohol,,,,104
,Rent ,,,,293.5483871
,Salaray,,,1309.677419,
,,,,,
"Sunday, 04/04/2021",,,,,
,,,,,
,Ticket for Jasmin,,,,85
,Lunch,,,,57
,,,,,
"Monday, 05/04/2021",,,,,
,,,,,
,Lunch,,,,63
,For Tanya,,,,33
,,,,,
"Tuesday, 06/04/2021",,,,,
,,,,,
,Lunch,,,,57
,Sperm Donation,,,750,
,Bar,,,,47
,Jahnoon,,,,25
,,,,,
"Wednesday, 07/04/2021",,,,,
,,,,,
,Party Ticket,,,,77
,Lunch,,,,57
,Indi Negev Ticket,,,,420
,Private Tutoring,,,200,
,,,,,
"Thursday, 08/04/2021",,,,,
,,,,,
,Sandwich,,,,16
,Lunch,,,,38
,Bar,,,,75
,,,,,
"Friday, 09/04/2021",,,,,
,,,,,
,Party,,,,83
,Shevah,,,,47
,Football Game,,,,30
,,,,,
"Saturday, 10/04/2021",,,,,
,,,,,
,Caffe,,,,40
,Rent ,,,,293.5483871
,Salaray,,,1309.677419,
,,,,,
"Sunday, 11/04/2021",,,,,
,,,,,
,Caffe,,,,40
,Lunch,,,,49
,Sandwich,,,,16
,,,,,
"Monday, 12/04/2021",,,,,
,,,,,
,Lunch,,,,37
,Sandwich,,,,16
,,,,,
"Tuesday, 13/04/2021",,,,,
,,,,,
,Sperm Donation,,,750,
,Parking,,,,16
,Aroma,,,,33
,Lunch,,,,37
,,,,,
"Wednesday, 14/04/2021",,,,,
,,,,,
,Protein Powder,,,,215
,Utility Bills,,,,304.5
,Party,,,,130
,Caffe,,,,10
,,,,,
"Thursday, 15/04/2021",,,,,
,,,,,
,Caffe,,,,14
,Party,,,,110
,,,,,
,,,,,
"Friday, 16/04/2021",,,,,
,,,,,
"Saturday, 17/04/2021",,,,,
,,,,,
,Rent ,,,,293.5483871
,Salaray,,,1309.677419,
,Beer,,,,30
,,,,,
"Sunday, 18/04/2021",,,,,
,,,,,
,Lunch,,,,85
,Beer,,,,15
,,,,,
"Monday, 19/04/2021",,,,,
,,,,,
,Lunch,,,,34
,,,,,
"Tuesday, 20/04/2021",,,,,
,,,,,
,Lunch,,,,42
,Pizza,,,,38
,,,,,
"Wednesday, 21/04/2021",,,,,
,,,,,
,Gym,,,,250
,Aroma,,,,45
,Sperm Donation,,,750,
,Private Tutoring,,,100,
,,,,,
"Thursday, 22/04/2021",,,,,
,,,,,
,Gin,,,,40
,,,,,
"Friday, 23/04/2021",,,,,
,,,,,
,Sandwich,,,,30
,Bar,,,,22
,Taxi,,,,40
,,,,,
"Saturday, 24/04/2021",,,,,
,,,,,
,Rent ,,,,293.5483871
,Salaray,,,1309.677419,
,,,,,
"Sunday, 25/04/2021",,,,,
,,,,,
,Lunch,,,,35
,Sandwich,,,,20
,Super Pharm,,,,102.7
,,,,,
"Monday, 26/04/2021",,,,,
,,,,,
,Lunch,,,,40
,,,,,
"Tuesday, 27/04/2021",,,,,
,,,,,
,Lunch,,,,38
,Beer,,,,30
,,,,,
"Wednesday, 28/04/2021",,,,,
,,,,,
,Lunch,,,,48
,Netflix,,,,60
,Clothes,,,,350
,Pizza,,,,24
,,,,,
"Thursday, 29/04/2021",,,,,
,,,,,
,Sperm Donation,,,750,
,Aroma,,,,44
,Ticket to Game,,,,60
,Lunch,,,,34
,Bar,,,,50
,Jahnoon,,,,57
